label,text

ham,Hey Alice are we still on for the meeting tomorrow?
spam,You are a winner claim your free prize now at http://scam.example
ham,Please find attached the report for last quarter and share your notes.
spam,Lowest price meds available now no prescription needed.
ham,Thanks for the update I will review and get back to you.
spam,Congratulations you have been selected for a 1000 dollar gift card.
ham,Can we move our project sync to 3 PM today?
ham,Reminder your dentist appointment is scheduled for Monday at 10 AM.
ham,Team lunch is booked for Friday at the downtown cafe.
ham,Please approve the purchase order before end of day.
ham,The deployment succeeded and monitoring looks healthy.
ham,I uploaded the design draft to the shared drive for feedback.
ham,Your utility bill payment of 72 dollars was received successfully.
ham,Let's finalize the sprint backlog in tomorrow planning meeting.
ham,Thank you for your application we will contact shortlisted candidates.
ham,Your package has shipped and will arrive by Wednesday.
ham,Invoice INV-1034 has been paid thank you for your business.
ham,Can you review my pull request when you have time?
ham,Your one time password for login is 492801 valid for ten minutes.
ham,Please join the Zoom call using the calendar link at 2 PM.
spam,Urgent your bank account is blocked verify now to avoid closure.
spam,Claim your crypto rewards instantly send wallet key to unlock bonus.
spam,Work from home and earn 9000 per week limited slots apply now.
spam,Get rich quickly with our secret forex robot no risk guaranteed.
spam,Dear customer your package is held pay customs fee immediately.
spam,You won a luxury vacation respond with your card details to confirm.
spam,Hot singles near you click now for private chat.
spam,Final notice lawsuit filed against you call this number now.
spam,Exclusive offer buy followers and likes for all social platforms.
spam,Your PayPal was limited update credentials to restore access.
spam,Loan approved without checks transfer processing fee to continue.
spam,Reset your corporate password by opening this external attachment now.
spam,Apple security alert unusual sign in detected verify identity urgently.
spam,You have unclaimed tax refund submit SSN to receive transfer.
spam,Pre approved credit card no income proof click to activate.
spam,Get premium software keygen and crack license free download.
ham,Security team rotation starts next week please confirm availability.
ham,The onboarding session for new hires begins at 9 AM tomorrow.
ham,I left comments on the proposal document in section three.
ham,Weekly KPI dashboard is now updated in the analytics portal.
ham,Please renew your annual domain subscription before 30 June.
ham,Could you share the latest database backup status report?
ham,The customer asked for a demo next Tuesday afternoon.
ham,Happy birthday wishing you a wonderful year ahead.
ham,Your cafeteria balance is low please recharge if needed.
ham,Minutes of meeting attached action items are highlighted.
ham,Let's pair on the bug fix after standup today.
ham,Your leave request for next Friday has been approved.
ham,The payment gateway incident has been resolved successfully.
ham,Reminder submit your timesheet before midnight.
spam,Limited time miracle weight loss pills approved by doctors buy now.
spam,You have been chosen for secret shopper role earn fast cash.
spam,Click here to avoid account suspension immediate action required.
spam,Receive free bitcoin airdrop connect your wallet now.
spam,Your email storage full upgrade now with this unofficial portal.
spam,Act now to unlock jackpot winner status and collect funds.
spam,Attention CEO please wire transfer today this is confidential.
spam,Open attached invoice macro to prevent legal escalation.
spam,Insurance premium expired pay through this quick link immediately.
spam,Congratulations your number won international lottery submit documents.
